influencer_id,label,influencer_main_genre
411761,Nina Simone,Vocal
568861,The Sweet Inspirations,R&B;
614823,Brenda Russell,R&B;
622805,Stevie Wonder,R&B;
866491,Maxwell,R&B;
887806,Oleta Adams,Pop/Rock
927555,Aretha Franklin,R&B;
933172,Allen Toussaint,R&B;
22124,Slayer,Pop/Rock
98465,Iron Maiden,Pop/Rock
105422,Corrosion of Conformity,Pop/Rock
163386,Exhorder,Pop/Rock
246611,Judas Priest,Pop/Rock
260206,Van Halen,Pop/Rock
287259,Saint Vitus,Pop/Rock
315403,Venom,Pop/Rock
371258,Napalm Death,Pop/Rock
386253,Negative Approach,Pop/Rock
406294,Megadeth,Pop/Rock
424244,Ozzy Osbourne,Pop/Rock
490952,Anthrax,Pop/Rock
501407,MotÃ¶rhead,Pop/Rock
561715,Godflesh,Pop/Rock
588450,Annihilator,Pop/Rock
673208,Manowar,Pop/Rock
749970,Ted Nugent,Pop/Rock
751910,Testament,Pop/Rock
925852,Anvil,Pop/Rock
957085,Danzig,Pop/Rock
1098,Soundgarden,Pop/Rock
223627,John Frusciante,Pop/Rock
280956,Rollins Band,Pop/Rock
351733,Nine Inch Nails,Pop/Rock
357406,Nirvana,Pop/Rock
388198,Neurosis,Pop/Rock
506513,Mr. Bungle,Pop/Rock
572737,Helmet,Pop/Rock
825251,Marilyn Manson,Pop/Rock
120521,Chuck Berry,Pop/Rock
180228,Elvis Presley,Pop/Rock
799053,Donovan,Pop/Rock
824022,Little Richard,Pop/Rock
16835,The Paul Butterfield Blues Band,Blues
22928,Steppenwolf,Pop/Rock
46120,The Amboy Dukes,Pop/Rock
76057,King Crimson,Pop/Rock
114342,The Doors,Pop/Rock
137474,Laura Nyro,Pop/Rock
138699,Frank Zappa,Pop/Rock
311674,Vanilla Fudge,Pop/Rock
327765,John Barry,Stage & Screen
489676,The Pretty Things,Pop/Rock
6334,Tony Bennett,Vocal
150629,Ã‰dith Piaf,Vocal
695189,Yves Montand,Vocal
804476,Charles Aznavour,Vocal
958533,Dave Brubeck,Jazz
28692,Terry Gibbs,Jazz
175553,John Coltrane,Jazz
208404,Dexter Gordon,Jazz
404463,Ravi Shankar,International
640675,Bud Powell,Jazz
868092,McCoy Tyner,Jazz
749222,Paul Oakenfold,Electronic
752945,Paul van Dyk,Electronic
37730,Pearl Jam,Pop/Rock
39258,Paul Westerberg,Pop/Rock
47789,BoDeans,Pop/Rock
51992,Big Star,Pop/Rock
78741,The Connells,Pop/Rock
130173,Crowded House,Pop/Rock
184043,Foo Fighters,Pop/Rock
287917,Lindsey Buckingham,Pop/Rock
350840,Jimmy Buffett,Pop/Rock
387530,Matthew Sweet,Pop/Rock
490554,The Posies,Pop/Rock
612716,Tom Petty,Pop/Rock
853492,Marshall Crenshaw,Pop/Rock
898479,The Smithereens,Pop/Rock
936425,Todd Rundgren,Pop/Rock
987491,Gram Parsons,Pop/Rock
11707,Steely Dan,Pop/Rock
43714,Bee Gees,Pop/Rock
46925,"Blood, Sweat & Tears",Pop/Rock
96964,Boz Scaggs,Pop/Rock
102399,Larry Carlton,Jazz
110161,Chicago,Pop/Rock
130689,Jackson Browne,Pop/Rock
136871,The Doobie Brothers,Pop/Rock
277351,Loggins & Messina,Pop/Rock
481461,Orleans,Pop/Rock
674662,Manfred Mann,Pop/Rock
685647,Yes,Pop/Rock
796734,Elton John,Pop/Rock
957296,Herbie Hancock,Jazz
60306,Harold Arlen,Stage & Screen
79016,Billie Holiday,Vocal
82584,Billy Eckstine,Vocal
162677,Dizzy Gillespie,Jazz
172642,Joe Mooney,Vocal
184502,Ella Fitzgerald,Vocal
204901,Sarah Vaughan,Vocal
211758,Charlie Parker,Jazz
212612,Johnny Hartman,Vocal
213590,Joe Williams,Vocal
244406,Johnny Mercer,Vocal
742899,Stan Getz,Jazz
396372,Max Roach,Jazz
21334,Stephanie Mills,R&B;
816701,Deniece Williams,R&B;
825168,The Jones Girls,R&B;
46861,Ray Charles,R&B;
60679,Big Joe Williams,Blues
815039,John Lee Hooker,Blues
825208,Lightnin' Hopkins,Blues
942252,Compay Segundo,Latin
197424,Vicente FernÃ¡ndez,Latin
311680,Luis Miguel,Latin
617613,Alejandro FernÃ¡ndez,Latin
619388,Alejandro Sanz,Latin
245039,Vassar Clements,Country
389979,Ralph Stanley,Country
778568,J.D. Crowe & the New South,Country
36537,Steve Howe,Pop/Rock
89021,Jimmy Page,Pop/Rock
209142,George Harrison,Pop/Rock
307135,Rick Nielsen,Pop/Rock
496405,The Shadows,Pop/Rock
805785,Joe Satriani,Pop/Rock
821571,Smokey Robinson,R&B;
842351,Pete Townshend,Pop/Rock
113480,Jaco Pastorius,Jazz
152312,Jack Bruce,Pop/Rock
61479,The Five Satins,R&B;
64145,The Five Keys,R&B;
82013,The Impressions,R&B;
118544,The Drifters,R&B;
144458,Curtis Mayfield,R&B;
147200,The Dells,R&B;
162820,Gene Chandler,R&B;
329468,Jerry Butler,R&B;
524239,Brook Benton,R&B;
894335,The Platters,R&B;
41420,Pebbles,R&B;
59819,Betty Wright,R&B;
101953,Klymaxx,R&B;
118289,Labelle,R&B;
477875,The Supremes,R&B;
500889,Minnie Riperton,R&B;
509356,Atlantic Starr,R&B;
569256,The Tams,R&B;
572106,The Three Degrees,R&B;
594665,Diana Ross,R&B;
664849,Gloria Gaynor,R&B;
746666,Sister Sledge,R&B;
865016,New Edition,R&B;
894847,The Pointer Sisters,R&B;
55128,Bo Diddley,Pop/Rock
58616,The Champs,Pop/Rock
116984,Chubby Checker,R&B;
502806,The Rivingtons,R&B;
773642,The Kingsmen,Pop/Rock
50251,Blind Melon,Pop/Rock
88180,Kid Rock,Pop/Rock
798606,Fugazi,Pop/Rock
139908,The Cult,Pop/Rock
418740,Sex Pistols,Pop/Rock
671953,Heart,Pop/Rock
891063,Misfits,Pop/Rock
334740,Ronnie Milsap,Country
13393,Tower of Power,R&B;
59655,The Mar-Keys,R&B;
94224,Ike & Tina Turner,R&B;
128099,James Brown,R&B;
149973,Barbara Lynn,R&B;
170454,Carla Thomas,R&B;
179764,Fontella Bass,R&B;
414251,Otis Redding,R&B;
477377,The Memphis Horns,R&B;
542976,Candi Staton,R&B;
667169,Gladys Knight & the Pips,R&B;
751738,Steve Cropper,R&B;
772526,Irma Thomas,R&B;
803242,Lyn Collins,R&B;
806542,Etta James,Blues
817011,Was (Not Was),Pop/Rock
894531,Otis Clay,R&B;
59293,The Mamas & the Papas,Pop/Rock
71336,The Four Freshmen,Vocal
328352,The New Christy Minstrels,Folk
575051,Herman's Hermits,Pop/Rock
65590,The Flaming Lips,Pop/Rock
189678,Galaxie 500,Pop/Rock
325459,R.E.M.,Pop/Rock
422405,The Replacements,Pop/Rock
545726,Guided by Voices,Pop/Rock
621944,The Boo Radleys,Pop/Rock
752314,Pavement,Pop/Rock
780625,Cracker,Pop/Rock
922911,Mojave 3,Pop/Rock
39013,Alkaline Trio,Pop/Rock
305363,Saves the Day,Pop/Rock
563834,Dag Nasty,Pop/Rock
690456,Youth of Today,Pop/Rock
781766,Cro-Mags,Pop/Rock
808944,Jawbreaker,Pop/Rock
855836,The Promise Ring,Pop/Rock
178906,Jawbox,Pop/Rock
219203,U2,Pop/Rock
803026,Government Issue,Pop/Rock
11754,Sheena Easton,Pop/Rock
22257,Patty Smyth,Pop/Rock
137084,Jody Watley,R&B;
159433,Take That,Pop/Rock
177454,M People,Electronic
228099,Howard Jones,Pop/Rock
235923,Leif Garrett,Pop/Rock
246960,Wham!,Pop/Rock
290590,Samantha Fox,Pop/Rock
302106,Lisa Stansfield,R&B;
354722,Rick Astley,Pop/Rock
390477,New Kids on the Block,Pop/Rock
484145,The Partridge Family,Pop/Rock
495338,Ace of Base,Pop/Rock
545074,George Michael,Pop/Rock
572499,The Velvelettes,R&B;
776093,Kylie Minogue,Pop/Rock
790833,Shalamar,R&B;
874289,Menudo,Latin
121590,Jacques Brel,Vocal
253142,Scott Walker,Pop/Rock
567624,The Stylistics,R&B;
590441,Young Marble Giants,Pop/Rock
1433,Pam Tillis,Country
133057,Jo Dee Messina,Country
161808,Shania Twain,Country
162269,Faith Hill,Country
162487,Dixie Chicks,Country
227088,Deana Carter,Country
270491,Joni Mitchell,Pop/Rock
286115,Lorrie Morgan,Country
340446,McBride & the Ride,Country
368112,Martina McBride,Country
495861,Mindy McCready,Country
749476,Trisha Yearwood,Country
750131,Terri Clark,Country
834108,Sarah McLachlan,Pop/Rock
858375,Mary Chapin Carpenter,Country
167320,Fear Factory,Pop/Rock
178122,Filter,Pop/Rock
420133,Ministry,Pop/Rock
820115,White Zombie,Pop/Rock
393345,Oasis,Pop/Rock
564333,The Stone Roses,Pop/Rock
23290,Slam Stewart,Jazz
170690,Erskine Hawkins,Jazz
242966,Lennie Tristano,Jazz
490416,Thelonious Monk,Jazz
494537,Milt Hinton,Jazz
641450,Buddy Collette,Jazz
748773,Amos Milburn,Blues
7731,Papa Roach,Pop/Rock
7920,Alice in Chains,Pop/Rock
543595,Candlebox,Pop/Rock
750742,Slipknot,Pop/Rock
782768,Creed,Pop/Rock
813946,Deftones,Pop/Rock
12472,Traffic,Pop/Rock
20050,Ten Years After,Pop/Rock
36106,Steve Miller Band,Pop/Rock
38490,The Band,Pop/Rock
77175,Bob Weir,Pop/Rock
107139,Bootsy Collins,R&B;
178536,Edgar Winter,Pop/Rock
191947,War,R&B;
265440,Jorma Kaukonen,Pop/Rock
307461,Van Morrison,Pop/Rock
313284,Little Feat,Pop/Rock
317417,Quicksilver Messenger Service,Pop/Rock
745964,The Allman Brothers Band,Pop/Rock
798792,Graham Central Station,R&B;
92942,Chic,R&B;
127337,Be Bop Deluxe,Pop/Rock
183858,Gary Numan,Pop/Rock
217622,Japan,Pop/Rock
238115,Sam Cooke,R&B;
531986,David Bowie,Pop/Rock
617196,Brian Eno,Pop/Rock
645474,David Essex,Pop/Rock
809266,Ultravox,Pop/Rock
852855,Roxy Music,Pop/Rock
62823,Bad Religion,Pop/Rock
202545,Generation X,Pop/Rock
385611,Redd Kross,Pop/Rock
335,PJ Harvey,Pop/Rock
158309,Pat Benatar,Pop/Rock
225930,Liz Phair,Pop/Rock
680476,Hole,Pop/Rock
792530,Tori Amos,Pop/Rock
15318,Travis Tritt,Country
81561,Keith Whitley,Country
207127,Ricky Van Shelton,Country
214162,Vince Gill,Country
251375,Johnny Paycheck,Country
300749,Sammy Kershaw,Country
396676,Randy Travis,Country
522768,Brooks & Dunn,Country
605375,Alan Jackson,Country
792370,Clint Black,Country
798248,Garth Brooks,Country
944084,George Strait,Country
18258,Teena Marie,R&B;
169536,Ferlin Husky,Country
740833,Grant Lee Buffalo,Pop/Rock
44994,Sonny Landreth,Blues
129547,Clarence "Gatemouth" Brown,Blues
205180,Dr. John,Pop/Rock
369270,Professor Longhair,Blues
611102,Albert Collins,Blues
617844,Albert King,Blues
625739,Stevie Ray Vaughan,Pop/Rock
942529,Buddy Guy,Blues
66570,Keith Jarrett,Jazz
67528,Bob Dorough,Vocal
267354,Horace Silver,Jazz
743929,Stan Kenton,Jazz
809058,Jay & the Americans,Pop/Rock
927627,Mose Allison,Jazz
325401,Petula Clark,Pop/Rock
473554,Olivia Newton-John,Pop/Rock
490549,Anne Murray,Country
674150,Helen Reddy,Vocal
686897,Linda Ronstadt,Pop/Rock
936190,Stevie Nicks,Pop/Rock
68780,Kenny Burrell,Jazz
175196,Carlos Santana,Pop/Rock
184187,Gabor Szabo,Jazz
201760,George Benson,Jazz
248392,Wes Montgomery,Jazz
341137,Roy Buchanan,Blues
7448,The Delfonics,R&B;
127063,Bell Biv DeVoe,R&B;
155563,Take 6,Religious
308871,Little Anthony & the Imperials,R&B;
478246,The Tymes,R&B;
651156,Guy,R&B;
762731,The Chi-Lites,R&B;
767016,Keith Sweat,R&B;
117844,"Hank Williams, Jr.",Country
200791,Waylon Jennings,Country
320761,Ricky Skaggs,Country
410219,Merle Haggard,Country
471156,Mickey Gilley,Country
573100,Daryle Singletary,Country
791483,Dwight Yoakam,Country
238495,John Mayall,Blues
493122,The Rascals,Pop/Rock
543055,Georgie Fame,Pop/Rock
596922,Yusef Lateef,Jazz
631774,The Byrds,Pop/Rock
751019,The Animals,Pop/Rock
925181,Them,Pop/Rock
573978,Marcia Griffiths,Reggae
152023,Everclear,Pop/Rock
16759,Tadd Dameron,Jazz
39656,Sonny Rollins,Jazz
160198,Gene Ammons,Jazz
172350,Don Byas,Jazz
301955,Lowell Fulson,Blues
770629,Illinois Jacquet,Jazz
47421,The Blues Brothers,R&B;
106298,Cheech & Chong,Comedy/Spoken
165663,Twisted Sister,Pop/Rock
193320,Def Leppard,Pop/Rock
299471,Scorpions,Pop/Rock
745241,Status Quo,Pop/Rock
897214,The Rutles,Pop/Rock
34899,Soul Coughing,Pop/Rock
51376,The Fall,Pop/Rock
167287,Frank Black,Pop/Rock
219483,Dinosaur Jr.,Pop/Rock
290812,Joy Division,Pop/Rock
364399,Public Image Ltd.,Pop/Rock
809357,Jan Hammer,Jazz
842802,Peter Gabriel,Pop/Rock
990384,Thee Oh Sees,Pop/Rock
71970,The J.B.'s,R&B;
90389,Idris Muhammad,Jazz
673114,Marcus Miller,Jazz
781172,Jimmy Smith,Jazz
2411,Tangerine Dream,Electronic
81017,Kitaro,New Age
147638,Edgar Froese,Electronic
186927,Harold Budd,Avant-Garde
300245,Rick Wakeman,Pop/Rock
675495,Mannheim Steamroller,New Age
826364,Liz Story,New Age
840000,Vangelis,Electronic
667794,Gordon Lightfoot,Folk
934721,Tom Paxton,Folk
14651,Patsy Cline,Country
70715,Bobby Darin,Pop/Rock
144847,Eagles,Pop/Rock
629609,David Allan Coe,Country
664378,Glen Campbell,Country
765722,The Collins Kids,Pop/Rock
814606,Wanda Jackson,Pop/Rock
868456,Melba Montgomery,Country
934069,Brenda Lee,Country
944310,George Jones,Country
31685,Paul Simon,Pop/Rock
96613,Bonnie Raitt,Pop/Rock
117490,Chris Smither,Pop/Rock
147635,Carly Simon,Pop/Rock
159214,Dusty Springfield,Pop/Rock
166785,Dan Fogelberg,Pop/Rock
174557,Carole King,Pop/Rock
182900,Fleetwood Mac,Pop/Rock
184091,Don Henley,Pop/Rock
204386,James Taylor,Pop/Rock
248798,Judee Sill,Pop/Rock
285272,Rosanne Cash,Country
294923,Judy Collins,Folk
359016,Richard Thompson,Pop/Rock
359966,Rickie Lee Jones,Pop/Rock
688400,Willis Alan Ramsey,Pop/Rock
791120,The Roches,Folk
812046,John Hiatt,Pop/Rock
816387,Leon Russell,Pop/Rock
855405,Kate & Anna McGarrigle,Folk
962339,Dave Mason,Pop/Rock
31067,Solomon Burke,R&B;
677781,Wilson Pickett,R&B;
766893,The Isley Brothers,R&B;
772976,Booker T. Jones,R&B;
814898,Lee Dorsey,R&B;
15694,Teenage Fanclub,Pop/Rock
29791,Paul Weller,Pop/Rock
29884,Paul McCartney,Pop/Rock
31556,Supergrass,Pop/Rock
36521,Smashing Pumpkins,Pop/Rock
79044,The Lightning Seeds,Pop/Rock
112185,James,Pop/Rock
145128,Echo & the Bunnymen,Pop/Rock
212131,Ride,Pop/Rock
240665,Jeff Buckley,Pop/Rock
326249,Radiohead,Pop/Rock
575522,The Verve,Pop/Rock
793425,Feeder,Pop/Rock
815537,Del Amitri,Pop/Rock
954964,Manic Street Preachers,Pop/Rock
608701,Muddy Waters,Blues
797881,Ella Mae Morse,Vocal
10412,Spin Doctors,Pop/Rock
21744,Stephen Stills,Pop/Rock
103484,Indigo Girls,Pop/Rock
600069,James Taylor,Pop/Rock
774588,Kris Kristofferson,Country
848034,Jim Croce,Pop/Rock
31274,Alan Parsons,Pop/Rock
199995,Genesis,Pop/Rock
253861,Jon Anderson,Pop/Rock
404434,The Moody Blues,Pop/Rock
798992,"Emerson, Lake & Palmer",Pop/Rock
140176,Eddie Fisher,Vocal
61480,The Guess Who,Pop/Rock
131581,"Crosby, Stills & Nash",Pop/Rock
162233,Fairport Convention,Pop/Rock
781094,The Clancy Brothers,International
111794,Chico O'Farrill,Jazz
161173,Bebo ValdÃ©s,Latin
227776,Lee Konitz,Jazz
398615,Oliver Nelson,Jazz
607283,Tito Puente,Latin
32071,Shirley Caesar,Religious
98189,Kitty Wells,Country
193160,The Maddox Brothers & Rose,Country
380704,Red Foley,Country
549797,Hank Williams,Country
747506,Patti Page,Vocal
796741,Eddy Arnold,Country
848784,Roy Acuff,Country
857203,Kay Starr,Vocal
5882,T. Rex,Pop/Rock
44764,Blondie,Pop/Rock
75747,The Clash,Pop/Rock
97182,Christy Moore,International
936946,Tommy Makem,International
3595,Andrew Lloyd Webber,Stage & Screen
79960,Boston,Pop/Rock
150048,Enigma,Electronic
203008,Rush,Pop/Rock
303626,Kansas,Pop/Rock
825924,Marillion,Pop/Rock
887619,Renaissance,Pop/Rock
128440,Duran Duran,Pop/Rock
128495,Counting Crows,Pop/Rock
758453,Blues Traveler,Pop/Rock
891264,The Outlaws,Pop/Rock
923033,Styx,Pop/Rock
16281,Tracy Chapman,Pop/Rock
58549,Elvis Costello,Pop/Rock
49774,Blackstreet,R&B;
61044,Bobby Brown,R&B;
96379,Boyz II Men,R&B;
467203,Michael Jackson,R&B;
69986,Kenny Rogers,Country
72205,Billy Joe Shaver,Country
159699,Emmylou Harris,Country
294085,Rodney Crowell,Country
637150,David Frizzell,Country
806247,Charlie Daniels,Country
14073,Tab Hunter,Pop/Rock
16438,Television Personalities,Pop/Rock
64303,Badfinger,Pop/Rock
73421,The Clean,Pop/Rock
154530,Beat Happening,Pop/Rock
180263,Flamin' Groovies,Pop/Rock
314600,Love,Pop/Rock
343930,The Jesus and Mary Chain,Pop/Rock
475932,The Only Ones,Pop/Rock
478426,Orange Juice,Pop/Rock
485191,The Pastels,Pop/Rock
501692,1910 Fruitgum Company,Pop/Rock
569914,Moby Grape,Pop/Rock
684240,Wreckless Eric,Pop/Rock
764181,The Church,Pop/Rock
790732,Squeeze,Pop/Rock
866786,New York Dolls,Pop/Rock
939567,Buffalo Springfield,Pop/Rock
78044,Bill Withers,R&B;
5441,Pantera,Pop/Rock
9441,Static-X,Pop/Rock
572579,Anita Baker,R&B;
38466,Andy Williams,Vocal
44703,Sweet Honey in the Rock,Religious
153590,Graham Nash,Pop/Rock
179205,Don McLean,Pop/Rock
232564,John Lennon,Pop/Rock
295545,Richie Havens,Folk
626268,Buffy Sainte-Marie,Folk
696015,Phoebe Snow,Pop/Rock
888730,Odetta,Folk
29067,The Action,Pop/Rock
423267,Small Faces,Pop/Rock
483587,The Move,Pop/Rock
582313,The Zombies,Pop/Rock
47033,The Blue Nile,Pop/Rock
129761,Jimmy Webb,Pop/Rock
301619,Portishead,Pop/Rock
334193,New Order,Pop/Rock
798662,Ennio Morricone,Stage & Screen
131841,James Cotton,Blues
793227,Ben Webster,Jazz
93322,King Tubby,Reggae
138063,Barrington Levy,Reggae
160848,Gregory Isaacs,Reggae
328014,Peter Tosh,Reggae
641994,Burning Spear,Reggae
751592,Sly & Robbie,Reggae
785380,Lee "Scratch" Perry,Reggae
836312,Junior Murvin,Reggae
263937,Dio,Pop/Rock
540883,Guns N' Roses,Pop/Rock
817754,Ween,Pop/Rock
845775,Ronnie James Dio,Pop/Rock
864209,Neil Diamond,Pop/Rock
13387,Shawn Colvin,Pop/Rock
70027,The Innocence Mission,Pop/Rock
104455,The La's,Pop/Rock
120953,Cowboy Junkies,Pop/Rock
501081,"10,000 Maniacs",Pop/Rock
564726,The Sundays,Pop/Rock
784814,The Cranberries,Pop/Rock
40225,Gladys Knight,R&B;
418955,The Shangri-Las,Pop/Rock
491220,The Ronettes,Pop/Rock
575012,Darlene Love,R&B;
597309,Tina Turner,R&B;
801573,Doris Troy,R&B;
806877,Ruth Brown,R&B;
830375,Lorraine Ellison,R&B;
33161,Sly & the Family Stone,R&B;
590285,Billy Preston,R&B;
607448,Al Green,R&B;
766094,Commodores,R&B;
944349,Cameo,R&B;
162930,Eartha Kitt,Vocal
164093,Tammi Terrell,R&B;
185948,Carmen McRae,Vocal
260038,Dinah Washington,Vocal
368367,Nancy Wilson,Vocal
378624,Quincy Jones,Jazz
29867,Shirley Bassey,Vocal
171728,Ethel Merman,Vocal
273531,Liza Minnelli,Vocal
314113,Julie Andrews,Stage & Screen
81796,Kenny Clarke,Jazz
119629,Joe Lovano,Jazz
290464,Roy Haynes,Jazz
764702,Bill Evans,Jazz
845443,Philly Joe Jones,Jazz
305501,Roger,R&B;
103162,Kim Weston,R&B;
213212,Janis Ian,Pop/Rock
302685,Rufus,R&B;
384675,Mary Wells,R&B;
834673,Linda Jones,R&B;
489520,Mike Oldfield,New Age
671244,Witchfinder General,Pop/Rock
766533,Bolt Thrower,Pop/Rock
78886,The Housemartins,Pop/Rock
80720,The House of Love,Pop/Rock
137390,The Cure,Pop/Rock
260212,Pet Shop Boys,Pop/Rock
482677,The Lemonheads,Pop/Rock
567570,Thompson Twins,Pop/Rock
789340,Belly,Pop/Rock
831215,Saint Etienne,Pop/Rock
895443,The Human League,Pop/Rock
