Source,Target,Type,Id,Label,timeset,Weight
604852,1098,Directed,65,,,1
623985,1098,Directed,66,,,1
754032,1098,Directed,67,,,1
755156,1098,Directed,68,,,1
771438,1098,Directed,69,,,1
772567,1098,Directed,70,,,1
840402,1098,Directed,71,,,1
8828,1113,Directed,72,,,1
81403,1113,Directed,73,,,1
546214,1113,Directed,74,,,1
628467,1113,Directed,75,,,1
13384,1433,Directed,76,,,1
19241,1433,Directed,77,,,1
65397,1433,Directed,78,,,1
86312,1433,Directed,79,,,1
99753,1433,Directed,80,,,1
136640,1433,Directed,81,,,1
175286,1433,Directed,82,,,1
210512,1433,Directed,83,,,1
234325,1433,Directed,84,,,1
409954,1433,Directed,85,,,1
749175,1433,Directed,86,,,1
804289,1433,Directed,87,,,1
50493,1498,Directed,88,,,1
96977,1498,Directed,89,,,1
97325,1498,Directed,90,,,1
219966,1498,Directed,91,,,1
561105,1498,Directed,92,,,1
607053,1498,Directed,93,,,1
1528006,1589,Directed,94,,,1
559405,1611,Directed,95,,,1
156886,2252,Directed,96,,,1
112017,2273,Directed,97,,,1
203804,2273,Directed,98,,,1
588679,2273,Directed,99,,,1
744548,2273,Directed,100,,,1
38936,2330,Directed,101,,,1
41874,2330,Directed,102,,,1
249175,2330,Directed,103,,,1
639397,2330,Directed,104,,,1
642542,2330,Directed,105,,,1
754032,2330,Directed,106,,,1
765585,2330,Directed,107,,,1
781837,2330,Directed,108,,,1
785283,2330,Directed,109,,,1
792507,2330,Directed,110,,,1
798543,2330,Directed,111,,,1
183867,2411,Directed,112,,,1
346336,2411,Directed,113,,,1
354105,2411,Directed,114,,,1
423829,2411,Directed,115,,,1
750519,2411,Directed,116,,,1
754032,2411,Directed,117,,,1
840102,2411,Directed,118,,,1
988440,2411,Directed,119,,,1
133969,2578,Directed,120,,,1
7689,2750,Directed,121,,,1
160690,2750,Directed,122,,,1
208774,2750,Directed,123,,,1
262255,2750,Directed,124,,,1
319347,2750,Directed,125,,,1
376204,2750,Directed,126,,,1
802302,2750,Directed,127,,,1
820434,2750,Directed,128,,,1
112462,2867,Directed,129,,,1
139026,2867,Directed,130,,,1
176936,2867,Directed,131,,,1
187478,2867,Directed,132,,,1
192382,2867,Directed,133,,,1
240865,2867,Directed,134,,,1
255371,2867,Directed,135,,,1
354105,2867,Directed,136,,,1
489303,2867,Directed,137,,,1
824599,2867,Directed,138,,,1
831381,2867,Directed,139,,,1
894465,2867,Directed,140,,,1
18977,3170,Directed,141,,,1
19297,3170,Directed,142,,,1
297894,3170,Directed,143,,,1
517607,3226,Directed,144,,,1
583618,3226,Directed,145,,,1
626463,3226,Directed,146,,,1
859509,3226,Directed,147,,,1
101895,3426,Directed,148,,,1
319347,3426,Directed,149,,,1
239859,3595,Directed,150,,,1
304458,3595,Directed,151,,,1
649950,3595,Directed,152,,,1
691807,3595,Directed,153,,,1
754032,3595,Directed,154,,,1
178014,3627,Directed,155,,,1
246768,3627,Directed,156,,,1
295276,3627,Directed,157,,,1
603590,3627,Directed,158,,,1
745584,3627,Directed,159,,,1
790988,3627,Directed,160,,,1
819344,3627,Directed,161,,,1
855773,3627,Directed,162,,,1
131627,3669,Directed,163,,,1
137580,3669,Directed,164,,,1
170369,3669,Directed,165,,,1
207735,3669,Directed,166,,,1
240311,3669,Directed,167,,,1
289177,3669,Directed,168,,,1
309458,3669,Directed,169,,,1
332141,3669,Directed,170,,,1
519637,3669,Directed,171,,,1
578028,3669,Directed,172,,,1
584923,3669,Directed,173,,,1
690254,3669,Directed,174,,,1
744265,3669,Directed,175,,,1
767068,3669,Directed,176,,,1
816890,3669,Directed,177,,,1
921965,3669,Directed,178,,,1
923384,3669,Directed,179,,,1
532957,3829,Directed,180,,,1
805930,3829,Directed,181,,,1
178014,4358,Directed,182,,,1
91650,4451,Directed,183,,,1
123007,4451,Directed,184,,,1
490141,4451,Directed,185,,,1
42234,4458,Directed,186,,,1
536122,4553,Directed,187,,,1
31380,4852,Directed,188,,,1
122754,4852,Directed,189,,,1
145443,4852,Directed,190,,,1
208774,4852,Directed,191,,,1
237205,4852,Directed,192,,,1
492331,4852,Directed,193,,,1
661524,4852,Directed,194,,,1
664817,4852,Directed,195,,,1
806336,4852,Directed,196,,,1
100160,4955,Directed,197,,,1
577627,4955,Directed,198,,,1
1190,5307,Directed,199,,,1
7689,5307,Directed,200,,,1
74195,5307,Directed,201,,,1
101946,5307,Directed,202,,,1
134600,5307,Directed,203,,,1
164053,5307,Directed,204,,,1
165011,5307,Directed,205,,,1
170770,5307,Directed,206,,,1
208774,5307,Directed,207,,,1
279337,5307,Directed,208,,,1
290072,5307,Directed,209,,,1
316834,5307,Directed,210,,,1
361393,5307,Directed,211,,,1
376204,5307,Directed,212,,,1
411761,5307,Directed,213,,,1
568861,5307,Directed,214,,,1
614823,5307,Directed,215,,,1
622805,5307,Directed,216,,,1
866491,5307,Directed,217,,,1
887806,5307,Directed,218,,,1
927555,5307,Directed,219,,,1
933172,5307,Directed,220,,,1
22124,5441,Directed,221,,,1
84209,5441,Directed,222,,,1
91650,5441,Directed,223,,,1
98465,5441,Directed,224,,,1
105422,5441,Directed,225,,,1
163386,5441,Directed,226,,,1
192382,5441,Directed,227,,,1
246611,5441,Directed,228,,,1
260206,5441,Directed,229,,,1
287259,5441,Directed,230,,,1
315403,5441,Directed,231,,,1
371258,5441,Directed,232,,,1
386253,5441,Directed,233,,,1
406294,5441,Directed,234,,,1
424244,5441,Directed,235,,,1
446509,5441,Directed,236,,,1
490952,5441,Directed,237,,,1
501407,5441,Directed,238,,,1
561715,5441,Directed,239,,,1
579839,5441,Directed,240,,,1
588450,5441,Directed,241,,,1
604852,5441,Directed,242,,,1
673208,5441,Directed,243,,,1
749970,5441,Directed,244,,,1
751910,5441,Directed,245,,,1
771438,5441,Directed,246,,,1
925852,5441,Directed,247,,,1
957085,5441,Directed,248,,,1
1098,5501,Directed,249,,,1
22124,5501,Directed,250,,,1
134729,5501,Directed,251,,,1
223627,5501,Directed,252,,,1
260206,5501,Directed,253,,,1
280956,5501,Directed,254,,,1
351733,5501,Directed,255,,,1
357406,5501,Directed,256,,,1
388198,5501,Directed,257,,,1
424244,5501,Directed,258,,,1
446509,5501,Directed,259,,,1
506513,5501,Directed,260,,,1
572737,5501,Directed,261,,,1
579839,5501,Directed,262,,,1
741746,5501,Directed,263,,,1
754032,5501,Directed,264,,,1
771438,5501,Directed,265,,,1
790820,5501,Directed,266,,,1
806829,5501,Directed,267,,,1
825251,5501,Directed,268,,,1
863790,5501,Directed,269,,,1
66915,5882,Directed,270,,,1
100160,5882,Directed,271,,,1
120521,5882,Directed,272,,,1
180228,5882,Directed,273,,,1
354105,5882,Directed,274,,,1
489303,5882,Directed,275,,,1
577627,5882,Directed,276,,,1
754032,5882,Directed,277,,,1
799053,5882,Directed,278,,,1
824022,5882,Directed,279,,,1
894465,5882,Directed,280,,,1
16835,5953,Directed,281,,,1
22928,5953,Directed,282,,,1
41874,5953,Directed,283,,,1
46120,5953,Directed,284,,,1
66915,5953,Directed,285,,,1
76057,5953,Directed,286,,,1
100160,5953,Directed,287,,,1
114342,5953,Directed,288,,,1
137474,5953,Directed,289,,,1
138699,5953,Directed,290,,,1
182598,5953,Directed,291,,,1
239859,5953,Directed,292,,,1
309458,5953,Directed,293,,,1
311674,5953,Directed,294,,,1
327765,5953,Directed,295,,,1
346336,5953,Directed,296,,,1
354105,5953,Directed,297,,,1
489303,5953,Directed,298,,,1
489676,5953,Directed,299,,,1
562304,5953,Directed,300,,,1
577627,5953,Directed,301,,,1
642542,5953,Directed,302,,,1
754032,5953,Directed,303,,,1
772567,5953,Directed,304,,,1
894465,5953,Directed,305,,,1
6334,5980,Directed,306,,,1
66915,5980,Directed,307,,,1
150629,5980,Directed,308,,,1
695189,5980,Directed,309,,,1
792507,5980,Directed,310,,,1
804476,5980,Directed,311,,,1
958533,5980,Directed,312,,,1
28692,6143,Directed,313,,,1
175553,6143,Directed,314,,,1
208404,6143,Directed,315,,,1
404463,6143,Directed,316,,,1
640675,6143,Directed,317,,,1
868092,6143,Directed,318,,,1
749222,6232,Directed,319,,,1
752945,6232,Directed,320,,,1
37730,6310,Directed,321,,,1
39258,6310,Directed,322,,,1
47789,6310,Directed,323,,,1
51992,6310,Directed,324,,,1
66915,6310,Directed,325,,,1
78741,6310,Directed,326,,,1
130173,6310,Directed,327,,,1
184043,6310,Directed,328,,,1
287917,6310,Directed,329,,,1
350840,6310,Directed,330,,,1
387530,6310,Directed,331,,,1
490554,6310,Directed,332,,,1
612716,6310,Directed,333,,,1
853492,6310,Directed,334,,,1
898479,6310,Directed,335,,,1
936425,6310,Directed,336,,,1
987491,6310,Directed,337,,,1
11707,6320,Directed,338,,,1
41874,6320,Directed,339,,,1
43714,6320,Directed,340,,,1
46925,6320,Directed,341,,,1
96964,6320,Directed,342,,,1
102399,6320,Directed,343,,,1
110161,6320,Directed,344,,,1
130689,6320,Directed,345,,,1
136871,6320,Directed,346,,,1
277351,6320,Directed,347,,,1
481461,6320,Directed,348,,,1
674662,6320,Directed,349,,,1
685647,6320,Directed,350,,,1
754032,6320,Directed,351,,,1
796734,6320,Directed,352,,,1
957296,6320,Directed,353,,,1
60306,6334,Directed,354,,,1
79016,6334,Directed,355,,,1
82584,6334,Directed,356,,,1
162677,6334,Directed,357,,,1
172642,6334,Directed,358,,,1
184502,6334,Directed,359,,,1
204901,6334,Directed,360,,,1
211758,6334,Directed,361,,,1
212612,6334,Directed,362,,,1
213590,6334,Directed,363,,,1
244406,6334,Directed,364,,,1
742899,6334,Directed,365,,,1
792507,6334,Directed,366,,,1
396372,6563,Directed,367,,,1
21334,6568,Directed,368,,,1
816701,6568,Directed,369,,,1
825168,6568,Directed,370,,,1
46861,6613,Directed,371,,,1
60679,6613,Directed,372,,,1
815039,6613,Directed,373,,,1
825208,6613,Directed,374,,,1
942252,6855,Directed,375,,,1
197424,6860,Directed,376,,,1
311680,6860,Directed,377,,,1
617613,6860,Directed,378,,,1
619388,6860,Directed,379,,,1
245039,7031,Directed,380,,,1
389979,7031,Directed,381,,,1
778568,7031,Directed,382,,,1
36537,7230,Directed,383,,,1
89021,7230,Directed,384,,,1
112462,7230,Directed,385,,,1
139026,7230,Directed,386,,,1
187478,7230,Directed,387,,,1
209142,7230,Directed,388,,,1
240865,7230,Directed,389,,,1
307135,7230,Directed,390,,,1
354105,7230,Directed,391,,,1
496405,7230,Directed,392,,,1
754032,7230,Directed,393,,,1
805785,7230,Directed,394,,,1
821571,7230,Directed,395,,,1
842351,7230,Directed,396,,,1
113480,7305,Directed,397,,,1
152312,7305,Directed,398,,,1
61479,7448,Directed,399,,,1
64145,7448,Directed,400,,,1
82013,7448,Directed,401,,,1
118544,7448,Directed,402,,,1
144458,7448,Directed,403,,,1
147200,7448,Directed,404,,,1
162820,7448,Directed,405,,,1
316834,7448,Directed,406,,,1
329468,7448,Directed,407,,,1
524239,7448,Directed,408,,,1
894335,7448,Directed,409,,,1
41420,7689,Directed,410,,,1
59819,7689,Directed,411,,,1
101953,7689,Directed,412,,,1
118289,7689,Directed,413,,,1
208774,7689,Directed,414,,,1
361393,7689,Directed,415,,,1
477875,7689,Directed,416,,,1
500889,7689,Directed,417,,,1
509356,7689,Directed,418,,,1
569256,7689,Directed,419,,,1
572106,7689,Directed,420,,,1
594665,7689,Directed,421,,,1
661524,7689,Directed,422,,,1
664849,7689,Directed,423,,,1
746666,7689,Directed,424,,,1
802302,7689,Directed,425,,,1
865016,7689,Directed,426,,,1
894847,7689,Directed,427,,,1
55128,7729,Directed,428,,,1
58616,7729,Directed,429,,,1
116984,7729,Directed,430,,,1
120521,7729,Directed,431,,,1
502806,7729,Directed,432,,,1
773642,7729,Directed,433,,,1
824022,7729,Directed,434,,,1
50251,7731,Directed,435,,,1
88180,7731,Directed,436,,,1
97325,7731,Directed,437,,,1
134729,7731,Directed,438,,,1
139026,7731,Directed,439,,,1
223627,7731,Directed,440,,,1
346336,7731,Directed,441,,,1
359326,7731,Directed,442,,,1
446509,7731,Directed,443,,,1
485135,7731,Directed,444,,,1
490952,7731,Directed,445,,,1
506513,7731,Directed,446,,,1
579839,7731,Directed,447,,,1
771438,7731,Directed,448,,,1
798606,7731,Directed,449,,,1
863790,7731,Directed,450,,,1
883318,7731,Directed,451,,,1
1098,7920,Directed,452,,,1
5953,7920,Directed,453,,,1
61938,7920,Directed,454,,,1
84209,7920,Directed,455,,,1
105422,7920,Directed,456,,,1
114342,7920,Directed,457,,,1
139026,7920,Directed,458,,,1
139908,7920,Directed,459,,,1
192382,7920,Directed,460,,,1
260206,7920,Directed,461,,,1
349157,7920,Directed,462,,,1
379125,7920,Directed,463,,,1
418740,7920,Directed,464,,,1
446509,7920,Directed,465,,,1
490004,7920,Directed,466,,,1
501407,7920,Directed,467,,,1
562304,7920,Directed,468,,,1
574772,7920,Directed,469,,,1
623985,7920,Directed,470,,,1
671953,7920,Directed,471,,,1
749970,7920,Directed,472,,,1
771438,7920,Directed,473,,,1
891063,7920,Directed,474,,,1
895136,7920,Directed,475,,,1
334740,7974,Directed,476,,,1
13393,8125,Directed,477,,,1
59655,8125,Directed,478,,,1
94224,8125,Directed,479,,,1
128099,8125,Directed,480,,,1
149973,8125,Directed,481,,,1
170454,8125,Directed,482,,,1
179764,8125,Directed,483,,,1
414251,8125,Directed,484,,,1
477377,8125,Directed,485,,,1
542976,8125,Directed,486,,,1
568861,8125,Directed,487,,,1
667169,8125,Directed,488,,,1
751738,8125,Directed,489,,,1
772526,8125,Directed,490,,,1
803242,8125,Directed,491,,,1
806542,8125,Directed,492,,,1
817011,8125,Directed,493,,,1
894531,8125,Directed,494,,,1
927555,8125,Directed,495,,,1
59293,8245,Directed,496,,,1
71336,8245,Directed,497,,,1
328352,8245,Directed,498,,,1
575051,8245,Directed,499,,,1
65590,8549,Directed,500,,,1
66915,8549,Directed,501,,,1
131627,8549,Directed,502,,,1
189678,8549,Directed,503,,,1
325459,8549,Directed,504,,,1
346336,8549,Directed,505,,,1
379125,8549,Directed,506,,,1
422405,8549,Directed,507,,,1
545726,8549,Directed,508,,,1
615119,8549,Directed,509,,,1
621944,8549,Directed,510,,,1
752314,8549,Directed,511,,,1
754032,8549,Directed,512,,,1
780625,8549,Directed,513,,,1
816890,8549,Directed,514,,,1
840402,8549,Directed,515,,,1
895136,8549,Directed,516,,,1
922911,8549,Directed,517,,,1
39013,8570,Directed,518,,,1
305363,8570,Directed,519,,,1
563834,8570,Directed,520,,,1
579839,8570,Directed,521,,,1
690456,8570,Directed,522,,,1
781766,8570,Directed,523,,,1
808944,8570,Directed,524,,,1
855836,8570,Directed,525,,,1
178906,8591,Directed,526,,,1
219203,8591,Directed,527,,,1
572737,8591,Directed,528,,,1
583618,8591,Directed,529,,,1
798606,8591,Directed,530,,,1
803026,8591,Directed,531,,,1
808944,8591,Directed,532,,,1
855836,8591,Directed,533,,,1
859509,8591,Directed,534,,,1
11754,8828,Directed,535,,,1
22257,8828,Directed,536,,,1
31380,8828,Directed,537,,,1
81403,8828,Directed,538,,,1
137084,8828,Directed,539,,,1
159433,8828,Directed,540,,,1
160690,8828,Directed,541,,,1
177454,8828,Directed,542,,,1
208774,8828,Directed,543,,,1
228099,8828,Directed,544,,,1
235923,8828,Directed,545,,,1
237205,8828,Directed,546,,,1
246960,8828,Directed,547,,,1
290590,8828,Directed,548,,,1
302106,8828,Directed,549,,,1
354722,8828,Directed,550,,,1
390477,8828,Directed,551,,,1
477875,8828,Directed,552,,,1
484145,8828,Directed,553,,,1
495338,8828,Directed,554,,,1
545074,8828,Directed,555,,,1
572499,8828,Directed,556,,,1
776093,8828,Directed,557,,,1
790833,8828,Directed,558,,,1
820434,8828,Directed,559,,,1
874289,8828,Directed,560,,,1
100160,9084,Directed,561,,,1
121590,9084,Directed,562,,,1
138699,9084,Directed,563,,,1
150629,9084,Directed,564,,,1
253142,9084,Directed,565,,,1
754032,9084,Directed,566,,,1
840402,9084,Directed,567,,,1
567624,9218,Directed,568,,,1
590441,9218,Directed,569,,,1
1433,9437,Directed,570,,,1
133057,9437,Directed,571,,,1
161808,9437,Directed,572,,,1
162269,9437,Directed,573,,,1
162487,9437,Directed,574,,,1
227088,9437,Directed,575,,,1
270491,9437,Directed,576,,,1
286115,9437,Directed,577,,,1
340446,9437,Directed,578,,,1
368112,9437,Directed,579,,,1
495861,9437,Directed,580,,,1
749476,9437,Directed,581,,,1
750131,9437,Directed,582,,,1
834108,9437,Directed,583,,,1
858375,9437,Directed,584,,,1
112789,9441,Directed,585,,,1
167320,9441,Directed,586,,,1
178122,9441,Directed,587,,,1
420133,9441,Directed,588,,,1
572737,9441,Directed,589,,,1
820115,9441,Directed,590,,,1
825251,9441,Directed,591,,,1
100160,9490,Directed,592,,,1
393345,9490,Directed,593,,,1
564333,9490,Directed,594,,,1
577627,9490,Directed,595,,,1
894465,9490,Directed,596,,,1
899530,9490,Directed,597,,,1
23290,9680,Directed,598,,,1
170690,9680,Directed,599,,,1
211758,9680,Directed,600,,,1
242966,9680,Directed,601,,,1
490416,9680,Directed,602,,,1
494537,9680,Directed,603,,,1
641450,9680,Directed,604,,,1
748773,9680,Directed,605,,,1
7731,9787,Directed,606,,,1
7920,9787,Directed,607,,,1
88180,9787,Directed,608,,,1
112789,9787,Directed,609,,,1
134729,9787,Directed,610,,,1
543595,9787,Directed,611,,,1
572737,9787,Directed,612,,,1
750742,9787,Directed,613,,,1
782768,9787,Directed,614,,,1
813946,9787,Directed,615,,,1
167320,9970,Directed,616,,,1
178122,9970,Directed,617,,,1
813946,9970,Directed,618,,,1
863790,9970,Directed,619,,,1
12472,10412,Directed,620,,,1
13393,10412,Directed,621,,,1
20050,10412,Directed,622,,,1
36106,10412,Directed,623,,,1
38490,10412,Directed,624,,,1
66915,10412,Directed,625,,,1
77175,10412,Directed,626,,,1
96964,10412,Directed,627,,,1
107139,10412,Directed,628,,,1
128099,10412,Directed,629,,,1
178536,10412,Directed,630,,,1
191947,10412,Directed,631,,,1
265440,10412,Directed,632,,,1
307461,10412,Directed,633,,,1
313284,10412,Directed,634,,,1
317417,10412,Directed,635,,,1
745964,10412,Directed,636,,,1
798792,10412,Directed,637,,,1
988440,10412,Directed,638,,,1
92942,10538,Directed,639,,,1
127337,10538,Directed,640,,,1
183858,10538,Directed,641,,,1
217622,10538,Directed,642,,,1
238115,10538,Directed,643,,,1
316834,10538,Directed,644,,,1
531986,10538,Directed,645,,,1
617196,10538,Directed,646,,,1
645474,10538,Directed,647,,,1
664849,10538,Directed,648,,,1
809266,10538,Directed,649,,,1
852855,10538,Directed,650,,,1
62823,10982,Directed,651,,,1
91650,10982,Directed,652,,,1
202545,10982,Directed,653,,,1
385611,10982,Directed,654,,,1
418740,10982,Directed,655,,,1
490004,10982,Directed,656,,,1
754032,10982,Directed,657,,,1
960690,10982,Directed,658,,,1
335,11046,Directed,659,,,1
158309,11046,Directed,660,,,1
225930,11046,Directed,661,,,1
492331,11046,Directed,662,,,1
680476,11046,Directed,663,,,1
792530,11046,Directed,664,,,1
15318,11052,Directed,665,,,1
81561,11052,Directed,666,,,1
207127,11052,Directed,667,,,1
214162,11052,Directed,668,,,1
251375,11052,Directed,669,,,1
300749,11052,Directed,670,,,1
396676,11052,Directed,671,,,1
522768,11052,Directed,672,,,1
605375,11052,Directed,673,,,1
792370,11052,Directed,674,,,1
798248,11052,Directed,675,,,1
944084,11052,Directed,676,,,1
18258,11210,Directed,677,,,1
169536,11242,Directed,678,,,1
744548,11242,Directed,679,,,1
740833,11506,Directed,680,,,1
44994,11608,Directed,681,,,1
129547,11608,Directed,682,,,1
205180,11608,Directed,683,,,1
313284,11608,Directed,684,,,1
354105,11608,Directed,685,,,1
369270,11608,Directed,686,,,1
611102,11608,Directed,687,,,1
617844,11608,Directed,688,,,1
625739,11608,Directed,689,,,1
942529,11608,Directed,690,,,1
112789,11664,Directed,691,,,1
46861,11707,Directed,692,,,1
66570,11707,Directed,693,,,1
66915,11707,Directed,694,,,1
67528,11707,Directed,695,,,1
211758,11707,Directed,696,,,1
240865,11707,Directed,697,,,1
267354,11707,Directed,698,,,1
642542,11707,Directed,699,,,1
674662,11707,Directed,700,,,1
743929,11707,Directed,701,,,1
754032,11707,Directed,702,,,1
809058,11707,Directed,703,,,1
927627,11707,Directed,704,,,1
165011,11754,Directed,705,,,1
175286,11754,Directed,706,,,1
237205,11754,Directed,707,,,1
325401,11754,Directed,708,,,1
473554,11754,Directed,709,,,1
490549,11754,Directed,710,,,1
661524,11754,Directed,711,,,1
674150,11754,Directed,712,,,1
686897,11754,Directed,713,,,1
936190,11754,Directed,714,,,1
68780,11910,Directed,715,,,1
102399,11910,Directed,716,,,1
175196,11910,Directed,717,,,1
184187,11910,Directed,718,,,1
201760,11910,Directed,719,,,1
248392,11910,Directed,720,,,1
341137,11910,Directed,721,,,1
354105,11910,Directed,722,,,1
7448,12128,Directed,723,,,1
127063,12128,Directed,724,,,1
155563,12128,Directed,725,,,1
308871,12128,Directed,726,,,1
390477,12128,Directed,727,,,1
478246,12128,Directed,728,,,1
509356,12128,Directed,729,,,1
651156,12128,Directed,730,,,1
762731,12128,Directed,731,,,1
767016,12128,Directed,732,,,1
865016,12128,Directed,733,,,1
117844,12180,Directed,734,,,1
200791,12180,Directed,735,,,1
207127,12180,Directed,736,,,1
320761,12180,Directed,737,,,1
396676,12180,Directed,738,,,1
410219,12180,Directed,739,,,1
471156,12180,Directed,740,,,1
573100,12180,Directed,741,,,1
791483,12180,Directed,742,,,1
792370,12180,Directed,743,,,1
944084,12180,Directed,744,,,1
46861,12472,Directed,745,,,1
66915,12472,Directed,746,,,1
238495,12472,Directed,747,,,1
489303,12472,Directed,748,,,1
489676,12472,Directed,749,,,1
493122,12472,Directed,750,,,1
543055,12472,Directed,751,,,1
596922,12472,Directed,752,,,1
631774,12472,Directed,753,,,1
751019,12472,Directed,754,,,1
754032,12472,Directed,755,,,1
925181,12472,Directed,756,,,1
237205,12491,Directed,757,,,1
661524,12491,Directed,758,,,1
664849,12491,Directed,759,,,1
746666,12491,Directed,760,,,1
178014,12570,Directed,761,,,1
573978,12570,Directed,762,,,1
152023,12595,Directed,763,,,1
184043,12595,Directed,764,,,1
16759,12644,Directed,765,,,1
39656,12644,Directed,766,,,1
160198,12644,Directed,767,,,1
172350,12644,Directed,768,,,1
301955,12644,Directed,769,,,1
770629,12644,Directed,770,,,1
5953,12654,Directed,771,,,1
47421,12654,Directed,772,,,1
84209,12654,Directed,773,,,1
98465,12654,Directed,774,,,1
106298,12654,Directed,775,,,1
139026,12654,Directed,776,,,1
165663,12654,Directed,777,,,1
193320,12654,Directed,778,,,1
246611,12654,Directed,779,,,1
260206,12654,Directed,780,,,1
299471,12654,Directed,781,,,1
315403,12654,Directed,782,,,1
604852,12654,Directed,783,,,1
673208,12654,Directed,784,,,1
744548,12654,Directed,785,,,1
745241,12654,Directed,786,,,1
771438,12654,Directed,787,,,1
897214,12654,Directed,788,,,1
925852,12654,Directed,789,,,1
66915,12877,Directed,790,,,1
34899,12972,Directed,791,,,1
51376,12972,Directed,792,,,1
132710,12972,Directed,793,,,1
167287,12972,Directed,794,,,1
187581,12972,Directed,795,,,1
219483,12972,Directed,796,,,1
290812,12972,Directed,797,,,1
364399,12972,Directed,798,,,1
531986,12972,Directed,799,,,1
617196,12972,Directed,800,,,1
809357,12972,Directed,801,,,1
838272,12972,Directed,802,,,1
842802,12972,Directed,803,,,1
895136,12972,Directed,804,,,1
990384,12972,Directed,805,,,1
71970,13038,Directed,806,,,1
90389,13038,Directed,807,,,1
673114,13038,Directed,808,,,1
781172,13038,Directed,809,,,1
2411,13101,Directed,810,,,1
81017,13101,Directed,811,,,1
138699,13101,Directed,812,,,1
147638,13101,Directed,813,,,1
186927,13101,Directed,814,,,1
300245,13101,Directed,815,,,1
617196,13101,Directed,816,,,1
675495,13101,Directed,817,,,1
826364,13101,Directed,818,,,1
840000,13101,Directed,819,,,1
667794,13377,Directed,820,,,1
934721,13377,Directed,821,,,1
14651,13384,Directed,822,,,1
70715,13384,Directed,823,,,1
136640,13384,Directed,824,,,1
144847,13384,Directed,825,,,1
180228,13384,Directed,826,,,1
234325,13384,Directed,827,,,1
629609,13384,Directed,828,,,1
664378,13384,Directed,829,,,1
686897,13384,Directed,830,,,1
765722,13384,Directed,831,,,1
804289,13384,Directed,832,,,1
814606,13384,Directed,833,,,1
868456,13384,Directed,834,,,1
934069,13384,Directed,835,,,1
944310,13384,Directed,836,,,1
31685,13387,Directed,837,,,1
66915,13387,Directed,838,,,1
96613,13387,Directed,839,,,1
117490,13387,Directed,840,,,1
130689,13387,Directed,841,,,1
133969,13387,Directed,842,,,1
137474,13387,Directed,843,,,1
147635,13387,Directed,844,,,1
159214,13387,Directed,845,,,1
166785,13387,Directed,846,,,1
174557,13387,Directed,847,,,1
182900,13387,Directed,848,,,1
184091,13387,Directed,849,,,1
204386,13387,Directed,850,,,1
248798,13387,Directed,851,,,1
270491,13387,Directed,852,,,1
285272,13387,Directed,853,,,1
294923,13387,Directed,854,,,1
307461,13387,Directed,855,,,1
359016,13387,Directed,856,,,1
359966,13387,Directed,857,,,1
688400,13387,Directed,858,,,1
791120,13387,Directed,859,,,1
812046,13387,Directed,860,,,1
816387,13387,Directed,861,,,1
855405,13387,Directed,862,,,1
936190,13387,Directed,863,,,1
962339,13387,Directed,864,,,1
31067,13393,Directed,865,,,1
59655,13393,Directed,866,,,1
128099,13393,Directed,867,,,1
316834,13393,Directed,868,,,1
414251,13393,Directed,869,,,1
477377,13393,Directed,870,,,1
677781,13393,Directed,871,,,1
766893,13393,Directed,872,,,1
772976,13393,Directed,873,,,1
